"마이크론 Crucial MX300 아스크텍(2TB),마이크론,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,"
"마이크론 Crucial MX300 아스크텍(1TB),마이크론,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,"
"킹스톤  SSDNow UV400(120GB),킹스톤,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88SS1074,350MB/s,550MB/s,,,,,,,"
"ADATA  Premier Pro New SP920(128GB),ADATA,내장형,2.5형(6.4cm),MLC(동기식),,,마벨 88SS9188,최대 180MB/s,최대 560MB/s,,,,,O,,"
"인텔  Optane Memory M.2 2280(32GB),인텔,내장형,M.2 (2280),,,,,최대 280MB/s,최대 1,200MB/s,,,,,,,"
"디오테라  VIVA 300S M.2 2280(256GB),디오테라,내장형,M.2 (2280),MLC(기타),2D낸드,,실리콘모션 SM2246,최대 380MB/s,최대 540MB/s,,,,,,,"
"삼성전자  850 EVO Series(2TB),삼성전자,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,삼성 MHX 컨트롤러,최대 520MB/s,최대 540MB/s,,,,,,,"
"킹스톤  SSDNow A400(240GB),킹스톤,내장형,2.5형(6.4cm),TLC(기타),2D낸드,,킹스톤,최대 350MB/s,최대 500MB/s,,,,,,,"
"ADATA  Premier Pro SP600(128GB),ADATA,내장형,2.5형(6.4cm),MLC(기타),,,JMicron JMF667H,최대쓰기 150MB/s,최대읽기 530MB/s,,,,,,,"
"e-STAR  SX300 mSATA(64GB),e-STAR,내장형,Mini SATA(mSATA),MLC(기타),,,파이슨,,,,,,,,,"
"삼성전자  850 EVO mSATA(500GB),삼성전자,내장형,Mini SATA(mSATA),TLC(토글),3D낸드,,삼성전자 MGX Controller,최대 520MB/s,최대 540MB/s,,,,,,,"
"실리콘파워  Slim S55(120GB),실리콘파워,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,,최대 370MB/s,최대 420MB/s,,,,,,,"
"트랜센드  M.2 SSD 외장 케이스 (TS-CM80),트랜센드,SSD 주변기기,,,,,,,,O,,,,,,"
"명인일렉트로닉스 엠트루 Half Slim SSD MH915(32GB),명인일렉트로닉스,산업용,Half Slim,MLC(동기식),,,파이슨 PS3109-S9,430MB/s,530MB/s,,,,,,,"
"삼성전자  850 EVO M.2 2280(1TB),삼성전자,내장형,M.2 (2280),,3D낸드,,삼성 MGX Controller,최대 500MB/s,최대 540MB/s,,,,,,,"
"e-STAR  ST980 M.2 2280(256GB),e-STAR,내장형,M.2 (2280),MLC(기타),,,파이슨,최대 2,200MB/s,최대 3,000MB/s,,O,,,,,"
"PHINOCOM  P700S PRO(256GB),PHINOCOM,내장형,2.5형(6.4cm),MLC(기타),3D낸드,,,최대 540MB/s,최대 560MB/s,,,,,,,"
"디오테라  VIVA 300S(240GB),디오테라,내장형,2.5형(6.4cm),TLC(기타),2D낸드,,실리콘모션 SMI SM2258H,최대 425MB/s,최대 562MB/s,,,,,,,"
"인텔  750 Series(1.2TB),인텔,내장형,PCIe 카드,MLC(기타),,20 nm,인텔,최대 1,200MB/s,최대 2,400MB/s,,,,,,,"
"e-STAR  ST360 M.2 2260(256GB),e-STAR,내장형,M.2 (2260),TLC(기타),3D낸드,,파이슨,,,,,,,,,"
"마이크론 Crucial MX300 M.2 2280 아스크텍(525GB),마이크론,내장형,M.2 (2280),TLC(기타),3D낸드,,마벨 88SS1074,최대 500MB/s,최대 530MB/s,,,,,,,"
"ADATA  Ultimate SU900(512GB),ADATA,내장형,2.5형(6.4cm),MLC(기타),3D낸드,,실리콘모션 SMI 2258,최대 525MB/s,최대 560MB/s,,,,,,,"
"트랜센드  SSD360S(128GB),트랜센드,내장형,2.5형(6.4cm),MLC(토글),,,Transcend TS6510,200MB/s,540MB/s,,,,,,,"
"ADATA  Premier Pro SP600(256GB),ADATA,내장형,2.5형(6.4cm),MLC(기타),,,JMicron JMF667H,최대 290MB/s,최대 540MB/s,,,,,,,"
