"AONE  CARE Micro 500HP KC,AONE,M-ATX 파워,,표기 500W,20핀+4핀,80mm 팬,O,,,,,"
"CORSAIR  RM1000i 80PLUS GOLD,CORSAIR,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,135mm 팬,O,,,O,,O"
"마이크로닉스  ASTRO GD 750W 80PLUS GOLD,마이크로닉스,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,,O,O,O,,O"
"topower  TOP-530A P1 80PLUS STANDARD,topower,ATX 파워,정격 530W,,20핀+4핀,120mm 팬,O,,,O,,O"
"Antec  EDGE550 GOLD LED 풀모듈러,Antec,ATX 파워,정격 550W,표기 550W,20핀+4핀,135mm 팬,O,,,O,,O"
"잘만  ZM850-ARX 80PLUS PLATINUM,잘만,ATX 파워,정격 850W,,20핀+4핀,135mm 팬,O,O,,O,,O"
"COUGAR  STX550 80PLUS 230V EU BRAVOTEC,COUGAR,ATX 파워,정격 550W,표기 550W,20핀+4핀,120mm 팬,O,,,,,O"
"POWEREX  REX III Modular 500W Triple V2.3,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,,,"
"잘만  ZM750-ARX 80PLUS PLATINUM,잘만,ATX 파워,정격 750W,,20핀+4핀,135mm 팬,O,O,,O,,O"
"마이크로닉스  Strike X LED Series 550W 85plus Modular,마이크로닉스,ATX 파워,정격 550W,표기 550W,24핀 전용,135mm 팬,O,,,,,"
"POWEREX  REX-200U,POWEREX,FLEX 파워,정격 200W,표기 200W,20핀+4핀,40mm,,,O,O,,"
"시소닉  HYDANCE HY-600CT Active PFC 80PLUS BRONZE,시소닉,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,O"
"POWEREX  LEGEND Modular 800W 80Plus 골드,POWEREX,ATX 파워,정격 800W,표기 800W,20핀+4핀,135mm 팬,O,,,O,,O"
"스카이디지탈  파워스테이션3 PS3-600KO 80PLUS ActivePFC V2.31,스카이디지탈,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O"
"쿨러마스터  MasterWatt 1500W 80PLUS TITANIUM,쿨러마스터,ATX 파워,정격 1500W,,20핀+4핀,135mm 팬,O,,,O,,O"
"스카이디지탈  파워스테이션4 PS4-600F 80PLUS 실버 ActivePFC V2.31,스카이디지탈,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,O"
"SuperFlower  SF-650F14MG II LEADEX GOLD,SuperFlower,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,O,,,,,O"
"FSP  FSP600-50HPN 85+,FSP,ATX 파워,정격 600W,표기 600W,24핀 전용,120mm 팬,O,,,O,,"
"AONE  TFX-500P KC,AONE,TFX 파워,,표기 500W,20핀+4핀,80mm 팬,,,O,,,"
"POWEREX  바쿠나 400W 벌크,POWEREX,ATX 파워,정격 400W,표기 400W,24핀 전용,120mm 팬,,,O,,,"
"에너지 옵티머스 ENERGY OPTIMUS IceQ 600K,에너지 옵티머스,ATX 파워,정격 300W,,20핀+4핀,120mm 팬,O,,,,,"
"CORSAIR  HX1000i 80PLUS PLATINUM(정품),CORSAIR,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,140mm,O,,,O,,O"
"마이크로닉스  New Performance 500W 80Plus Bronze Change-up,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,135mm 팬,,O,O,O,,O"
"SuperFlower  SF-500P14XE GOLDEN GREEN HX,SuperFlower,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,,,O"
"마이크로닉스  ASTRO GD 550W 80PLUS GOLD,마이크로닉스,ATX 파워,500W~599W,표기 550W,20핀+4핀,135mm 팬,,O,O,O,,O"
"Antec  TP-750C 80PLUS GOLD,Antec,ATX 파워,정격 750W,표기 750W,,120mm 팬,O,,,O,,O"
"POWEREX  바쿠나 600W,POWEREX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,"
"FSP  HYPER 500W,FSP,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"마이크로닉스  New Performance 600W 80Plus Bronze Change-up,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,135mm 팬,,O,O,O,,O"
"Antec  NeoECO NE650C 80PLUS BRONZE,Antec,ATX 파워,정격 650W,,20핀+4핀,120mm 팬,O,,,O,,O"
"마이크로닉스  Compact SFX 300W 80Plus Bronze,마이크로닉스,SFX 파워,정격 300W,표기 300W,,80mm 팬,O,,,O,,O"
"POWEREX  바쿠나 350W 벌크,POWEREX,ATX 파워,정격 350W,표기 350W,24핀 전용,120mm 팬,,,O,,,"
"POWEREX  LEGEND 600W 80PLUS 브론즈,POWEREX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O"
"마이크로닉스  New Performance 700W 80Plus Bronze 프리볼트,마이크로닉스,ATX 파워,정격 700W,표기 700W,20핀+4핀,135mm 팬,,O,O,O,,O"
"CORSAIR  RM750x 80PLUS GOLD,CORSAIR,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,,,O,,O"
"FSP  AURUM PT-550M,FSP,ATX 파워,정격 550W,표기 550W,20핀+4핀,120mm 팬,O,,,O,,O"
"FSP  FSP300-60GHS(85),FSP,SFX 파워,정격 300W,표기 300W,20핀+4핀,80mm 팬,O,,,O,,O"
"POWEREX  REX III 450W Triple V2.3,POWEREX,ATX 파워,정격 450W,표기 450W,20핀+4핀,120mm 팬,O,,,O,,"
"POWEREX  REX 5 600W Triple V2.3,POWEREX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,"
"POWEREX  REX III 400W Triple V2.3,POWEREX,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,O,,,O,,"
